name,Food Group,Fat (g),Protein (g),Carbohydrate (g),Serving Weight 1 (g)
Gravy Turkey Canned Ready-To-Serve,Soups and Sauces,2.1,2.6,5.1,238.0
Gravy Turkey Dry,Soups and Sauces,7.19,10.42,65.12,7.0
Gravy Unspecified Type Dry,Soups and Sauces,8.0,13.0,58.0,25.0
Soup Chicken Noodle Dry Mix,Soups and Sauces,6.51,15.42,62.32,74.0
Soup Beef Mushroom Canned Prepared With Equal Volume Water,Soups and Sauces,1.23,2.37,2.6,244.0
Soup Chicken Mushroom Canned Prepared With Equal Volume Water,Soups and Sauces,3.75,1.8,3.8,244.0
Soup Tomato Bisque Canned Prepared With Equal Volume Water,Soups and Sauces,1.02,0.92,9.6,247.0
Sauce Peanut Made From Coconut Water Sugar Peanuts,Soups and Sauces,6.34,2.02,28.46,17.0
Smart Soup Santa Fe Corn Chowder,Soups and Sauces,0.71,2.0,11.2,283.0
Smart Soup French Lentil,Soups and Sauces,1.06,2.9,9.5,283.0
Smart Soup Greek Minestrone,Soups and Sauces,0.53,1.7,8.4,283.0
Pesto,Soups and Sauces,37.6,9.83,10.09,63.0
Sauce Pesto Ready-To-Serve Shelf Stable,Soups and Sauces,42.42,5.0,6.14,61.0
Sauce Pesto Buitoni Pesto With Basil Ready-To-Serve Refrigerated,Soups and Sauces,37.6,9.83,10.09,63.0
Sauce Pesto Classico Basil Pesto Ready-To-Serve,Soups and Sauces,36.38,4.16,6.93,62.0
Vegetable Broth,Soups and Sauces,0.07,0.24,0.93,221.0
Soup Chicken Corn Chowder Chunky Ready-To-Serve Single Brand,Soups and Sauces,6.3,3.1,7.5,240.0
Soup Bean With Bacon Condensed Single Brand,Soups and Sauces,2.1,6.5,18.0,128.0
Soup Tomato Canned Condensed Reduced Sodium,Soups and Sauces,0.56,1.61,13.41,121.0
Gravy Brown Instant Dry,Soups and Sauces,11.85,8.53,59.78,6.7
Gravy Instant Beef Dry,Soups and Sauces,9.48,9.8,61.1,6.7
Gravy Instant Turkey Dry,Soups and Sauces,14.66,11.72,57.56,6.7
Soup Tomato Low Sodium With Water,Soups and Sauces,0.28,0.79,6.57,248.0
Soup Pea Low Sodium Prepared With Equal Volume Water,Soups and Sauces,1.09,3.2,9.88,259.0
Soup Chicken Noodle Low Sodium Canned Prepared With Equal Volume Water,Soups and Sauces,0.95,1.27,2.95,248.0
Soup Vegetable Soup Condensed Low Sodium Prepared With Equal Volume Water,Soups and Sauces,0.45,1.1,6.06,253.0
Sauce Tomato Chili Sauce Bottled With Salt,Soups and Sauces,0.3,2.5,19.79,6.0
Soup Vegetable Chicken Canned Prepared With Water Low Sodium,Soups and Sauces,2.0,5.1,8.76,241.0
Sauce Pasta Spaghetti/marinara Ready-To-Serve Low Sodium,Soups and Sauces,1.48,1.41,8.06,128.0
Gravy Meat Or Poultry Low Sodium Prepared,Soups and Sauces,2.4,3.8,6.16,236.0
Gravy Heinz Home Style Savory Beef,Soups and Sauces,1.13,1.09,6.24,57.0
Gravy Campbells Chicken,Soups and Sauces,2.73,0.79,5.87,56.0
Soup Cream Of Chicken Canned Condensed Reduced Sodium,Soups and Sauces,1.3,1.8,9.5,124.0
Sauce Peppers Hot Chili Mature Red Canned,Soups and Sauces,0.6,0.9,3.9,15.0
Sauce Chili Peppers Hot Immature Green Canned,Soups and Sauces,0.1,0.7,5.0,15.0
Fish Broth,Soups and Sauces,0.6,2.0,0.4,244.0
Soup Cream Of Mushroom Low Sodium Ready-To-Serve Canned,Soups and Sauces,3.7,1.0,4.53,244.0
